Name	Percentage;
Wolpertinger	84.4
Ace Hunter Kreen	14.2
Bloated Python	1.6
Professor Slate	0.8
Shan'do Wildclaw	2.1
Krolush Barkstripper	2.4
Blood Herald	0.5
Teacher's Pet	3.4
